date,rr,precipitation
19990703,    0,0
19990704,    2,0.2
19990705,    2,0.2
19990706,    0,0
19990707,    0,0
19990708,    0,0
19990709,    0,0
19990710,    0,0
19990711,    0,0
19990712,    0,0
19990713,    0,0
19990714,    0,0
19990715,    0,0
19990716,    0,0
19990717,    0,0
19990718,    0,0
19990719,   26,2.6
19990720,    0,0
19990721,    0,0
19990722,    0,0
19990723,    0,0
19990724,    0,0
19990725,    0,0
19990726,    0,0
19990727,    0,0
19990728,    0,0
19990729,    0,0
19990730,    0,0
19990731,    0,0
19990801,    0,0
19990802,   10,1
19990803,   12,1.2
19990804,  144,14.4
19990805,    0,0
19990806,   60,6
19990807,   30,3
19990808,  274,27.4
19990809,  384,38.4
19990810,    0,0
19990811,    0,0
19990812,    4,0.4
19990813,    6,0.6
19990814,   28,2.8
19990815,    2,0.2
19990816,   42,4.2
19990817,   46,4.6
19990818,  190,19
19990819,    0,0
19990820,    0,0
19990821,    0,0
19990822,    0,0
19990823,    0,0
19990824,    0,0
19990825,   16,1.6
19990826,    0,0
19990827,    0,0
19990828,    0,0
19990829,    0,0
19990830,    0,0
19990831,    0,0
19990901,    0,0
19990902,    0,0
19990903,    0,0
19990904,    0,0
19990905,   36,3.6
19990906,    0,0
19990907,    0,0
19990908,    8,0.8
19990909,    0,0
19990910,    0,0
19990911,    0,0
19990912,    0,0
19990913,   12,1.2
19990914,   42,4.2
19990915,   18,1.8
19990916,   61,6.1
19990917,    0,0
19990918,    8,0.8
19990919,  148,14.8
19990920,   86,8.6
19990921,    6,0.6
19990922,  178,17.8
19990923,   76,7.6
19990924,   50,5
19990925,   16,1.6
19990926,   26,2.6
19990927,    4,0.4
19990928,    6,0.6
19990929,   86,8.6
19990930,    0,0
19991001,   72,7.2
19991002,    0,0
19991003,    8,0.8
19991004,    0,0
19991005,    0,0
19991006,    0,0
19991007,    8,0.8
19991008,    0,0
19991009,    0,0
19991010,    0,0
19991011,    0,0
19991012,    0,0
19991013,    0,0
19991014,    0,0
19991015,    0,0
19991016,    0,0
19991017,    0,0
19991018,    0,0
19991019,    0,0
19991020,   64,6.4
19991021,   52,5.2
19991022,   50,5
19991023,  178,17.8
19991024,   46,4.6
19991025,    2,0.2
19991026,    0,0
19991027,    0,0
19991028,    2,0.2
19991029,    2,0.2
19991030,    4,0.4
19991031,    4,0.4
19991101,   10,1
19991102,    0,0
19991103,    0,0
19991104,    0,0
19991105,   66,6.6
19991106,    0,0
19991107,    0,0
19991108,    2,0.2
19991109,    0,0
19991110,    0,0
19991111,    4,0.4
19991112,    0,0
19991113,    0,0
19991114,    0,0
19991115,   16,1.6
19991116,   22,2.2
19991117,   26,2.6
19991118,    4,0.4
19991119,    4,0.4
19991120,    0,0
19991121,    8,0.8
19991122,    2,0.2
19991123,    0,0
19991124,    6,0.6
19991125,    0,0
19991126,   44,4.4
19991127,    0,0
19991128,   34,3.4
19991129,   62,6.2
19991130,    2,0.2
19991201,    2,0.2
19991202,    0,0
19991203,   16,1.6
19991204,    2,0.2
19991205,    0,0
19991206,    2,0.2
19991207,   14,1.4
19991208,   36,3.6
19991209,    0,0
19991210,   28,2.8
19991211,   21,2.1
19991212,   58,5.8
19991213,   28,2.8
19991214,    2,0.2
19991215,    0,0
19991216,    2,0.2
19991217,   18,1.8
19991218,   39,3.9
19991219,    0,0
19991220,   16,1.6
19991221,    2,0.2
19991222,   74,7.4
19991223,  106,10.6
19991224,  112,11.2
19991225,   64,6.4
19991226,   28,2.8
19991227,    0,0
19991228,    0,0
19991229,   14,1.4
19991230,   78,7.8
19991231,   10,1
20000101,    0,0
20000102,    2,0.2
20000103,   60,6
